English name,Chinese name,email domain
Caritas Bianchi College of Careers,明愛白英奇專業學校,mail.cbcc.edu.hk
Centennial College,明德學院,centennialcollege.hku.hk
City University of Hong Kong,香港城市大學,my.cityu.edu.hk
Gratia Christian College,宏恩基督教學院,gratia.edu.hk
HKCT Institute of Higher Education,港專學院,hkct.edu.hk
HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,hkuspace-plk.hku.hk
Hong Kong Academy for Performing Arts,香港演藝學院,hkapa.edu
Hong Kong Adventist College,香港三育書院,hkac.edu
Hong Kong Art School,香港藝術學院,hkac.org.hk
Hong Kong Baptist University,香港浸會大學,life.hkbu.edu.hk
Hong Kong Chu Hai College,香港珠海學院,chuhai.edu.hk
Hong Kong Institute of Technology,香港科技專上書院,hkit.edu.hk
Hong Kong Metropolitan University,香港都會大學,live.hkmu.edu.hk
Hong Kong Shue Yan University,香港樹仁大學,hksyu.edu.hk
Technological and Higher Education Institute of Hong Kong (Chai Wan Campus),香港高等教育科技學院 (柴灣校園),thei.edu.hk
The Education University of Hong Kong,香港教育大學,s.eduhk.hk
The Hang Seng University of Hong Kong,香港恒生大學,hsu.edu.hk
The Hong Kong Polytechnic University,香港理工大學,connect.polyu.hk
The Hong Kong University of Science and Technology,香港科技大學,connect.ust.hk
The University of Hong Kong,香港大學,connect.hku.hk
Tung Wah College,東華學院,twc.edu.hk
Yew Chung College of Early Childhood Education,耀中幼教學院,yccece.edu.hk
YMCA College of Careers,青年會專業書院,coc.cymca.edu.hk
The Chinese University of Hong Kong,香港中文大學,link.cuhk.edu.hk
Saint Francis University,聖方濟各大學,mail.sfu.edu.hk
Lingnan University,嶺南大學,ln.hk
American International School,美國國際學校,ais.edu.hk
American School Hong Kong,American School Hong Kong,ashk.edu.hk
Australian International School Hong Kong,香港澳洲國際學校,aishk.edu.hk
Canadian International School of Hong Kong,香港加拿大國際學校,cdnis.edu.hk
Carmel School (Borrett Road Campus),香港猶太教國際學校 (波老道校舍),carmel.edu.hk
Chinese International School,漢基國際學校,cis.edu.hk
Christian Alliance International School,宣道國際學校,caisbv.edu.hk
Christian Alliance P.C. Lau Memorial International School,宣道會劉平齋紀念國際學校,capcl.edu.hk
Concordia International School Hong Kong,協同國際學校,concordiaintl.edu.hk
Creative Secondary School,啟思中學,css.edu.hk
Delia Memorial School (Glee Path),地利亞修女紀念學校 (吉利徑),deliagroup.edu.hk
Diocesan Boys' School,拔萃男書院,dbs.edu.hk
Diocesan Boys' School,拔萃男書院,g.dbs.edu.hk
Diocesan Girls' School,拔萃女書院,dgs.edu.hk
Discovery Bay International School,愉景灣國際學校,dbis.edu.hk
Discovery College (ESF),(英基學校) 智新書院,dc.edu.hk
DSC International School,德思齊加拿大國際學校,dsc.edu.hk
ELCHK Lutheran Academy,基督教香港信義會宏信書院,luac.edu.hk
French International School (French Section) (Blue Pool Road Campus),法國國際學校 (法文部) (藍塘道校舍),lfis.edu.hk
G.T. (Ellen Yeung) College,優才(楊殷有娣)書院,gtcollege.edu.hk
German Swiss International School (English Stream) (Peak Campus),德瑞國際學校 (英文部) (山頂校舍),gsis.edu.hk
Harrow International School Hong Kong,哈羅香港國際學校,harrowschool.hk
HKBU Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School,香港浸會大學附屬學校王錦輝中小學,hkbuas.edu.hk
HKFYG Lee Shau Kee College,香港青年協會李兆基書院,hlc.edu.hk
HKU Graduate Association College,港大同學會書院,hkugac.edu.hk
Hong Kong Academy,香港學堂國際學校,hkacademy.edu.hk
Hong Kong International School (Repulse Bay Campus),香港國際學校 (淺水灣校舍),hkis.edu.hk
Hong Kong Japanese School (Japanese Section),香港日本人學校 (日文部),jis.edu.hk
International Christian Quality Music Secondary and Primary School,國際基督教優質音樂中學暨小學,icqm.edu.hk
International Christian School,基督教國際學校,ics.edu.hk
International College Hong Kong (New Territories),International College Hong Kong (New Territories),ichk.edu.hk
Island School (ESF),(英基學校) 港島中學,online.island.edu.hk
Japanese International School,香港日本人學校 (英文部),es.jis.edu.hk
Jockey Club Sarah Roe School (ESF),(英基學校) 賽馬會善樂學校,jcsrs.edu.hk
Kellett School (Kowloon Bay Campus),啟歷學校 (九龍灣校舍),kellettschool.com
Kiangsu-Chekiang College and Primary School (Braemar Hill Road Campus),蘇浙小學校及蘇浙公學 (寶馬山道校舍),kccis.hk
King George V School (ESF),(英基學校) 英皇佐治五世學校,kgv.edu.hk
Kingston International School,京斯敦國際學校,kingston.edu.hk
Korean International School (English Section),韓國國際學校 (英文部),kis.edu.hk
Lantau International School (Cheung Sha Campus),大嶼山國際學校 (長沙校舍),lis.edu.hk
Li Po Chun United World College of Hong Kong,香港李寶椿聯合世界書院,lpcuwc.edu.hk
Malvern College Hong Kong,香港墨爾文國際學校,malverncollege.org.hk
"Nord Anglia International School, Hong Kong (Kwun Tong Campus)","Nord Anglia International School, Hong Kong (Kwun Tong Campus)",nais.hk
Norwegian International School,Norwegian International School,nis.edu.hk
Po Leung Kuk Choi Kai Yau School,保良局蔡繼有學校,cky.edu.hk
Po Leung Kuk Ngan Po Ling College,保良局顏寶鈴書院,home.npl.edu.hk
Pui Kiu College,培僑書院,puikiu.edu.hk
Renaissance College Hong Kong,(英基學校) 啟新書院,rchk.edu.hk
Sear Rogers International School,弘爵國際學校,sris.edu.hk
Sha Tin College (ESF),(英基學校) 沙田學院,shatincollege.edu.hk
Shrewsbury International School Hong Kong,思貝禮國際學校,shrewsbury.edu.hk
Singapore International School (Hong Kong) (Nam Long Shan Road Campus),新加坡國際學校 (南朗山道校舍),singapore.edu.hk
South Island School (ESF),(英基學校) 南島中學,sis.edu.hk
St. Paul's Co-educational College,聖保羅男女中學,spcc.edu.hk
St. Paul's College,聖保羅書院,spc.edu.hk
St. Paul's Convent School,聖保祿學校,spcs.edu.hk
St. Stephen's College,聖士提反書院,ssc.edu.hk
Stewards Pooi Kei College,香港神託會培基書院,spkc.edu.hk
The Harbour School (Ap Lei Chau Centre Campus),港灣學校 (鴨脷洲中心校舍),theharbourschool.edu.hk
The HKCCCU Logos Academy,香港華人基督教聯會真道書院,logosacademy.edu.hk
The International Montessori School (Aldrich Bay Campus),蒙特梭利國際學校 (愛秩序灣校舍),ims.edu.hk
The ISF Academy,弘立書院,isf.edu.hk
Tsung Tsin Christian Academy,基督教崇真中學,ttca.edu.hk
United Christian College (East Kowloon),滙基書院 (東九龍),uccke.edu.hk
Victoria Shanghai Academy,滬江維多利亞學校,vsa.edu.hk
West Island School (ESF),(英基學校) 西島中學,wis.edu.hk
Y.K. Pao School Hong Kong,香港包玉剛學校,ykpaoschool.edu.hk
Yew Chung International School (11-13 Kent Road Campus),耀中國際學校 (根德道11-13號校舍),hk.ycef.com
YMCA of Hong Kong Christian College,港青基信書院,yhkcc.edu.hk
Aberdeen Baptist Lui Ming Choi College,香港仔浸信會呂明才書院,ablmcc.edu.hk
Aberdeen Technical School,香港仔工業學校,ats.edu.hk
Academy of Innovation (Confucius Hall),孔聖堂禮仁書院,aich.edu.hk
AD&FD POHL Leung Sing Tak College,博愛醫院歷屆總理聯誼會梁省德中學,lstc.edu.hk
Baptist Lui Ming Choi Secondary School,浸信會呂明才中學,blmcss.edu.hk
Baptist Wing Lung Secondary School,浸信會永隆中學,bwlss.edu.hk
Bethel High School,伯特利中學,bethel.edu.hk
Bishop Hall Jubilee School,何明華會督銀禧中學,bhjs.edu.hk
Buddhist Fat Ho Memorial College,佛教筏可紀念中學,eclass.bfhmc.edu.hk
Buddhist Ho Nam Kam College,佛教何南金中學,bhnkc.edu.hk
Buddhist Hung Sean Chau Memorial College,佛教孔仙洲紀念中學,bhscmc.edu.hk
Buddhist Mau Fung Memorial College,佛教茂峰法師紀念中學,bmf.edu.hk
Buddhist Sin Tak College,佛教善德英文中學,eclass.bstc.edu.hk
Buddhist Sum Heung Lam Memorial College,佛教沈香林紀念中學,bsc.edu.hk
Buddhist Tai Hung College,佛教大雄中學,mail.bthc.edu.hk
Buddhist Tai Kwong Chi Hong College,佛教大光慈航中學,btkchc.edu.hk
Buddhist Wong Fung Ling College,佛教黃鳳翎中學,bwflc.edu.hk
